"study_alias","study_desc","nct_number"
J4D-MC-EZFA,FHD POC Cardiovascular & Vascular Diseases Pts/HV,NCT05609825
H0P-MC-OA05,Intervention Specific Appendix - OA,NCT05620563
H0P-MC-NP05,Intervention Specific Appendix - CLBP,NCT05620576
H0P-MC-BP05,Intervention Specific Appendix,NCT05630196
I8H-MC-BDCW,BIF Ph3 T2DM Insulin Naive Fixed Dose 12 mo vs. Glargine,NCT05662332
I8F-MC-GPIM,Addition of TZP in T2DM on insulin glargine,NCT05691712
I6T-MC-AMBZ,Open Label Miri Trial in a Bowel Urgency Enriched Population,NCT05767021
I6T-MC-AMBA,Peds Phase 3 UC,NCT05784246
J2A-MC-GZGS,High risk CV,NCT05803421
I8F-MC-GPHJ,H2H vs Sema 2.4mg,NCT05822830
J3P-MC-FTAF,Adaptive Ph2a/2b RA,NCT05848258
J2G-MC-JZPB,BCRP DDI Trial HV,NCT05906836
J1I-MC-GOA1,"A Master Protocol to Investigate the Efficacy and Safety of LY3437943 Once Weekly in Participants without Type 2 Diabetes who have Obesity or Overweight: A Randomized, Double-Blind, Placebo-Controlled Trial (TRIUMPH-1) J1I-MC-GOA1",NCT05929066
J1I-MC-GZBJ,Chronic Weight Management -1 (without T2DM),NCT05929066
J1I-MC-GSA1,"A Master Protocol to Investigate the Efficacy and Safety of LY3437943 Once Weekly in Participants without Type 2 Diabetes who have Obesity or Overweight: A Randomized, Double-Blind, Placebo-Controlled Trial (TRIUMPH-1) J1I-MC-GSA1",NCT05929066
J1I-MC-GZBN,CWM + OA Standalone: Non-T2DM,NCT05931367
J1I-MC-GZBU,Renal MoA,NCT05936151
I7P-MC-DSAF,Phase 2 POC in Hidradenitis Suppurativa,NCT06046729
I8F-MC-GPIQ,Weight Maintenance Dose Trial,NCT06047548
J2N-MC-KLAA,Phase 2 Study Evaluating Efficacy of LY in Adults with MS,NCT06104683
W8M-MC-CWMM,Chronic Weight Management Master Protocol,NCT06143956
J1I-MC-GZBZ,Clinical Trial (H2H Sema w/ ext),NCT06260722
J5C-MC-FOAA,SAD/MAD Ethnicity Study in JP/CN Participants HV,NCT06311656
J1I-MC-GZBW,Energy Expenditure MoA Pts,NCT06313528
J2T-MC-KGBT,Clinical Trial (Ph3 Trial PAR 56wk),NCT06339008
I8F-MC-GPIV,Tirzepatide + Mibavademab,NCT06373146
J1I-MC-GZBO,"TRIUMPH Outcomes Trial: Cardiovascular Risk, CVOT",NCT06383390
J2T-MC-KGBY,Clinical Trial (Device Usability),NCT06444165
J5F-MC-OOAA,Clinical Trial (SAD/MAD) LM non-Oncology,NCT06565195
J4F-MC-CYAB,Clinical Trial (Ph2b Trial 4: DR DPNP) LM,NCT06566170
J2A-MC-GZPN,Weight Maintenance Dose Trial,NCT06584916
I1F-MC-RHDC,Ixekizumab and Tirzepatide Concomitantly Administered in Adult Participants with Moderate-to-Severe Plaque Psoriasis and Obesity or Overweight: Phase 3b Study (TOGETHER- PsO),NCT06588283
I1F-MC-RHDB,"Ixekizumab and Tirzepatide Concomitantly Administered in Adult Participants with
Active Psoriatic Arthritis and Obesity or Overweight: Phase 3b Study (TOGETHER-PsA)",NCT06588296
J4G-OX-JZVC,Definitive Food Effect HV,NCT06641037
J4Z-MC-GIDF,Clinical Trial (24 wk CWM in non-T2D pts),NCT06643728
J1G-MC-LAKI,Clinical Trial (Ph3 Trial 1: AD DM; LY v Pbo w/OLE) LM,NCT06653153
J1I-MC-GZBP,CWM4 - H2H,NCT06662383
J1P-MC-KFAD,MAD Atopic Dermatitis Pts,
I3Y-NS-L002,Phase 1/2 trial: STX-478 + abemaciclib + fulvestrant arm in PIK3CA mutant HR+HER2- metastatic breast cancer,
J4Z-VR-G004,BA and RoA bridging study (IV and SC) in healthy elderly,
J4Z-VR-G010,PoC study in cancer cachexia patients,
J3M-NS-L001,Single-arm open label Ph1b/2 olomorasib in combination with VVD Ras-PI3K,
I3Y-NS-L001,Abemaciclib in combination with PI3K inhibitor,
J1P-MC-KFAJ,Phase 2 Trial in SLE,
H8H-MC-B001,Pregnancy Registry,
J1L-AM-Y001,This is a Named Patient Use Program for patients transitioning from J1L-AM-JZGA A Phase 1 Study for Pegilodecakin to Named Patient Use ( compassionate use),
J5B-MC-FHAC,RBA/DDI#3/FE HV,
I3Y-MC-JPEH,Abema Peds HGG,
H0P-MC-BP07,Clinical Trial (Ph2a 8wk CLBP (Chronic Low Back Pain) NEW,
I8X-MC-JECA,FHD_Ph I/Ib - TGFb Inhib II - Solid Tumors,
H0P-MC-NP07,Clinical Trial (Ph2a 8wk DPNP/CPMP (Diabetic Peripheral Neuropathy/Chronic Pain) NEW,
I3Y-MC-JPCY,Ph II-Abemaciclib-Prostate Cancer,
J5B-MC-FHAF,ADME no costs,
H0P-MC-OA07,Clinical Trial (Ph2a 8wk OA (Osteoarthritis)) New,
I6E-AV-I068,Department of Defense Alzheimer’s Disease Blood-Testing Initiative (DoD-ADBI),
I8F-MC-GPI2,Obstructive Sleep Apnea Appendix TZP with PAP therapy,
J2P-MC-LXBE,Metformin DDI at lowe dose,
J4H-MC-FVAD,C14 ABA HV,
I4V-MC-B003,US_EU RA Long-Term Safety Study,
I3Y-MC-JPCM,Ph II/III - Abiraterone with or without abema in mCRPC,
I8F-MC-GPIG,Tirzepatide Mechanism of Action Study on Renal Function (TREASURE - CKD),
I4V-GH-B021,China PMSS,
J3R-MC-YDAD,China PK Study HV,
J5C-MC-FOAF,DDI #2 no costs,
J3P-MC-FTAD,Methotrexate DDI and CYP cocktail DDI (2-part study),
J2N-MC-E008,"A PHASE 3 MULTICENTER, RANDOMIZED, PROSPECTIVE, OPEN-LABEL TRIAL
 OF FIXED-DURATION (12 MONTHS) VENETOCLAX/OBINUTUZUMAB VS.
FIXED-DURATION (15 MONTHS) VENETOCLAX/PIRTOBRUTINIB VS.
MRD-GUIDED VENETOCLAX/PIRTOBRUTINIB
IN PATIENTS WITH PREVIOUSLY UNTREATED CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) / SMALL LYMPHOCYTIC LYMPHOMA (SLL)
AIMING TO ESTABLISH MEASUREMENT OF INDIVIDUAL RESIDUAL DISEASE FOR ADADPTION OF TREATEMENT DURATION TO IMPROVE OUTCOMES",
J2A-MC-GZGM,Multi-dose study with LY3502970 and clarithromycin HV,
J2A-MC-GZPH,CWM H2H with Rybelsus,
J4I-AV-_001,"18F-LY3950321-01",
H6O-MC-GCEK,Chronic Weight Management Prescreening Protocol,
J2G-JE-B009,JP PMSS,
I4C-MC-JTBB,p2 NSCLC 1st line EGFR mutant population,
I1F-IN-RHCZ,"Assessing AEs, SAEs & efficacy w/Ixekizumab for PsO & PsA",
J1I-MC-GZQF,Response of participants with type 2 diabetes mellitus on once-weekly retatrutide to hypoglycemia MOA Pts,
I8F-MC-GPHE,Early Type 2 Diabetes,
I8F-JE-GPHZ,Weight Management in Non-T2DM overweight or obese JP patient,
J2G-GH-B003,China PMSS-PhIV-RET Inhibitor-NSCLC+MTC+Thyroid,
I8H-MC-BDDD,Injection Site T2DM HV,
J3H-MC-GZNC,"C14, ABA, HV",
I4V-JE-B034,Non-Interventional Safety Study of JP Patients with AA,
J1I-MC-GZBL,Renal Impairment Study Pts/HV,
J4E-MC-FR01,AtD Ph2b POC,
I1F-US-I002,"An Open-Label, Proof-Of-Concept, Study of Ixekizumab in the Treatment of Pyoderma Gangrenosum",
J1I-MC-GZBY,Clinical Trial (Monotherapy),
I1F-EW-B008,Badbir (UK & Ireland) & PsoBest & Rabbit Registry (Germany),
I8F-MC-GPHH,MoA Functional MRI in Overweight/Obese (non DM) Pts,
I5Q-MC-Y001,Cluster Headache Expanded Access Program,
J2Y-MC-JZSA,nsq-NSCLC Bridging Study,
I6T-IN-AMCC,Clinical Trial (India Phase IV PMR),
I6T-MC-AMCE,Clinical Trial (TZP/miri combo trial) LM,
J3R-MC-YDAA,FHD SAD/MAD (12 week MAD),
I8F-MC-GPIP,BE of Multi-use Prefilled Pen vs Autoinjector in HV,
J2T-MC-KGBR,Clinical Trial (Ph3 Trial PEDS Combined),
I6E-AV-_A28,Evaluation of reader training processes by comparing clinical interpretations to centralized expert reads,
J2O-MC-EKBF,SAD/MAD | MoA | HV,
I4V-MC-JAIN,AtD EU Access & Reimbursement Study,
J1P-MC-KFAE,Phase 2 Trial in AtD,
I8F-MC-GPHR,Ph2B w Biopsy for NASH Resolution/NAS Score Reduction,
I4T-NS-I039,Ph 1 trial evaluating EO-3021 (CLDN18.2 ADC) in combination with Cyramza in Gastric Cancer,
I9X-MC-MTAF,Neurodegenerative Diseases OGA C14,
J4Y-AV-S002,Biospecimen Collection for Neurodegeneration Biomarker Research and Assay Development,
I8P-MC-OXAJ,Incretins in Imm- Mazdutide monotherapy,
"27310",Clinical Trial (60-wk PBO Controlled Trial),
F1D-MC-B041,Olz LAI Registry,
I8F-MC-GPIA,Efficacy & Safety of TRZ 1x/wk in pts w/out T2DM w/obesity,
J5C-MC-FOAC,DDI#3 PGP no costs,
J1I-MC-GZBR,Paediatric participant study (12 - <18 years) w/obesity,
I7E-AV-_A17,"18F-AV-1451-A17: LEARN Tau",
J4M-MC-PWMP,Clinical Trial (Ph3 Trial 7: Peds 1 (age 12-17) LM,
I3Y-IN-JPEC,Ph4-Abemaciclib-MBC,
J2G-KL-B005,"Selpercatinib RET+ NSCLC, MTC, TC PMSS – Korea",
I1F-MC-B019,Taltz PsA Observational Study,
J4E-MC-IMMB,Atopic Dermatitis Master Protocol Ph2a/b,
J4E-MC-KK02,GITR AtD Ph2a POC,
J2T-MC-KGBS,Clinical Trial (Ph3 Trial PAR 16wk),
J5B-MC-FHAA,SAD/MAD Ethnicity Study in JP/CN Patients HV,
I1F-MC-B007,Long Term Prospective RWE,
J2J-MC-JZLK,Oncology DDI#3 study in female healthy volunteers of NCBP,
I7E-AV-E145,The San Antonio Heart and Mind Study,
J4Z-NS-E001,"Effects of tirzepatide and bimagrumab on body composition, insulin sensitivity, and bone in adults with obesity",
I8R-MC-IGBO,SAD T1DM Pediatric 1-4 Pts,
J2N-MC-JZNJ,LOXO-305 China Only Phase 1/2 Study,
I4V-JE-B030,Non-Interventional Safety study of JP patients with AD,
J3G-MC-S002,Nocturnal Pruritis Identification Using Passive Data,
J2N-OX-JZNU,LOXO-BTK-20030-BRUIN-314-Ph3-Pirtobrut+Ibrutinib-H:H 1L CLL,
J3O-MC-LSBA,SAD PET HV,
J1R-MC-GZFC,MAD PK HV,
I8F-JE-B004,Observational Study Obesity Japan Post Marketing Safety Study,
J2G-MC-JZJX,PhIII-RET Inhibitor-NSCLC,
I8F-MC-GPIW,Clinical Trial of Chinese RBA TZP Kwikpen vs AI,
I8F-IN-B017,Clinical Trial (Trial 18 PMR India),
J1R-MC-GZFB,MAD Safety Study Pts,
J1I-MC-GZBV,DDI with Oral Contraceptives HV,
J2A-MC-GZPG,Multi-dose study of LY3502970 as perpetrator and multiple DDI in HV,
I1F-US-I003,Ixekizumab in the treatment of patients with pityriasis rubra pilaris (PRP),
J4C-OX-JZUD,LOXO-PIK-23009-Ph1-PI3K-DDI: Cholestyramine,
J2J-MC-JZLJ,Relative Bioavailability (RBA) Food Effect HV,
I7E-AV-E146,Tau Twin Study: Genetic and environmental contributions to longitudinal tau trajectories,
J5C-MC-FOAB,Clinical Trial (Ph2 in Pso),
J2T-MC-KGBW,IMCT for AtD patients,
J3L-MC-EZEG,Clinical Trial (China PK),
J4Y-MC-B001,A phase IV non-drug interventional study to evaluate the impact of p-Tau 217 on patient management.,
J3H-MC-GZNE,Incretins in Imm- GIP-GLP study in mild to mod pts,
I4X-IE-JFCC,SQUIRE-CP11-0806:R-Ph3-11F8+Gemzar+Cis-Sq-NSCLC,
I3Y-MC-JPBM,Monarch 3_R-PhIII CDK 4/6+Aromatase vs Aromatase-MBC-1st Ln,
I5B-MC-JGDJ,R-Ph III-Olaratumab vs Placebo-Soft Tissue Sarcoma,
I4V-MC-JAHU,sJIA pediatric trial,
I1F-JE-B011,Post-marketing safety study of Ixekizumab with Ankylosing Sp,
I9Y-OX-JDHB,LOXO-IDH-20001-Ph1-IDH1-AML,
J2O-JE-EKBB,FHD MAD Safety in Healthy Volunteers,
I8H-MC-BDCU,BIF Ph3 T2DM Basal Switch 18 month degludec controlled trial,
I4V-EW-B032,"2019-9084 UK AD Registry (A-STAR)",
I1F-MC-RHDA,Connected Autoinjector Patient Experience Study,
J2A-MC-GZPF,Clinical Trial (Ph3 Trial 3:T2DM Monotherapy H2H vs Dapa) SM,
J2O-MC-EKBE,Renal Impairment Hybrid Pt/HV,
J4Z-VR-G008,Extension of CBYM338E2202,
I8F-MC-GPHP,Pediatric (Age 12-17),
J4Z-JE-GIDE,Clinical Trial Japan Pts Overwt / Obese,
J1G-MC-LAKB,MAD Alzheimer's Pts/HV,
I8F-MC-GPGM,High Risk H2H Basal,
I5B-MC-Y001,Lartruvo Patient Access Program,
I8R-MC-B007,Post Marketing China Nasal Glucagon Study,
J2G-JE-JZJN,JP PMS-Ph IV-Ret Inhibitor-mutant MTC,
J2A-MC-GZGH,RBA HVA,
I5T-MC-AACM,Donanemab Ph3 for Pre Clinical AD,
I5Q-MC-B004,Galcanezumab GHORWE observational Study,
J3M-OX-JZQI,LOXO-RAS-23006-Ph1-Pilot Food Effect,
I4V-JE-B033,Post Marketing Safety Study of Baricitinib in COVID-19 Japan,
H6O-MC-O017,Investigate Continuous Heart Rate Monitoring Using Biosensor,
H9X-IN-B012,Prospective Non Interventional Dulaglutide India PMS Study,
J1P-MC-KFAL,ISR/PK Study,
I4V-NS-O037,Susceptibility for Transition of Progression to Psoriatic Arthritis (STOP-PsA) trial,
W8M-MC-BIM1,Clinical Trial (Ph2 TZP/Bima Lean Muscle),
J5R-MC-OPAA,FHD SAD/MAD incl. JP/CN HVs,
I8F-MC-GPJA,Clinical Trial (Ph3 Trial in T1DM pts),
J1A-MC-KDAE,SAD and PK in HV + Japanese - New Formulation,
J1P-GH-KFAK,China PK Study HV,
H7I-MC-S028,EET CIPN Natural History Study (EPIPHANY) PT,
J3W-MC-S001,NASH Diabetes,
J2O-MC-EKBD,Human C14 HV,
I1F-AY-O003,Phase II study of ixekizumab for chronic wound healing,
I3Y-MC-E021,Phase 1/2 trial of neoadjuvant darolutamide and abemaciclib in intermediate/high-risk prostate cancer.,
J3K-MC-KIAB,Phase 2a Multiple Sclerosis Study,
I8F-MC-GPIS,BE of Fixed Dose 15 mg Multiuse Pen vs AI in HV,
J4M-MC-WM01,Efficacy and Safety of Tirzepatide Once Weekly versus Placebo in Adolescents with Obesity and Weight-Related Comorbidities,
J2T-MC-B002,Clinical Trial (Observational Priority E short),
I8H-MC-BDDG,Pharmacokinetic Hyporecovery Clamp Pts,
"26606",This is a real-world prospective follow-up study of SURMOUNT-CN trial participants after trial termination. the aim of the study is to examine weight and waist circumferences change after treatment cessation in 3 monthly interval for 6 months.,
I4T-MC-JVCY,RELAY_R-PhIII-Erlotinib+Ram vsErlotinib+Placebo-NSCLC 1st Ln,
I4V-MC-JAIO,"Pediatric Alopecia Areata trial, ages 6 to <18",
J4H-MC-FVAC,DDI HV,
I4V-MC-JAJD,Randomized Controlled Pragmatic Trial,
J2G-MC-JZJZ,BE study in LY3527723,
I8F-MC-GPI1,Obstructive Sleep Apnea Appendix TZP without PAP therapy,
I5T-AV-_002,CSF Concordance - Flortaucipir,
J2T-AP-KGBX,This alias will be for the Almirall-run Lebrikizumab trial ADlong which is the extension to Lebri's KGAA trial.  Almirall is the EU-partner for Lebrikizumab.,
I8F-IN-GPIZ,Clinical Trial Indian TZP T2DM and Obesity,
I6E-AV-ADND,ADNI-DOD: Effects of TBI and PTSD on AD Veterans,
I6T-MC-AMAN,Ulcerative Colitis Phase III: Induction trial 1,
I6T-MC-AMAX,Crohn's Disease Long Term Extension (LTE),
I1F-NS-O013,Brain inflammation in patients with psoriasis and comorbid depression: a [11C](R)-PK11195 positron emission tomography (PET) study,
J2N-OX-JZNO,LOXO-BTK-20022-BRUIN-322-Ph3-Pirtobrutinib-R/R CLL (combo),
J5B-MC-FHAG,Clinical Trial (Ph2b Trial: Pso) SM (no cost),
J2A-MC-GZPA,Pediatric study for CWM (age 6-11),
J4M-MC-WMMP,A Platform Trial for Pediatric Participants with Obesity or Overweight,
J4W-MC-KUAA,"A first-in-human study to evaluate the safety, tolerability, and pharmacokinetics of LY3876358 in
healthy participants",
I8F-MC-B016,Clinical Trial (Prospective Pregnancy Exposure Registry),
J3M-MC-JZQC,KRAS G12C China PK study,
J2J-MC-JZLG,Oncology Hepatic Pts,
,Clinical Trial (Ph3 DPNP; Registration 1) SM Grants,
I3Y-MC-JPBB,FED Mantle Cell Lymphoma,
I3X-MC-JHTB,"FED, JAK2 Ph 2 trial in MPD",
I4V-KL-B007,Baricitinib RA PMSS - Korea,
J2A-MC-GZGE,Phase 2 T2DM GLP-1 Non-Peptide Ag I,
H9X-IN-GBGR,India Trulicity Ph IV Post Approval Commitment Study,
J2A-MC-GZGQ,Adult Participants with Obesity or Overweight and Type 2 Diabetes,
I5T-MC-AACP,A Phase I Donanemab (LY3002813) PK study,
I5Q-US-I001,Anti-CGRP neutralizing antibody for modulation of neurogenic inflammation in trigeminal pain associated with small fiber neuropathy/fibromyalgia,
J4Z-VR-G006,Extension of CBYM338B2203,
J4H-MC-FVAA,Randomized Phase 2a in patients with Psoriasis,
I8F-JE-B013,I8F-JE-B013 2023LMP - T-BEAT (JP observational study TZP vs Rybelsus I8F-JE-B013),
I3Y-MC-JPCG,Ph II - Abema Benefit/Risk - Breast,
H6O-MC-O012,EET to evaluate SU withdrawal / institution in T2DM Pts,
J2T-MC-KGBJ,Long-Term Extension Lebri vs Placebo in moderate to severe AD pediatrics,
J2D-JE-CVAD,Japan Phase 1,
J3L-MC-EZEH,Clinical Trial (Hepatic) | Confirmatory | Pts,
I8I-MC-JY05,Continued Access of LY3023414,
J1G-MC-LAKD,N3PG IV Phase 3 Clinical Efficacy,
I8P-MC-OXAG,MAD Obese HV,
J2T-AP-KGBQ,"Dble blind trial in pts cyclosporine failure

This is the Almirall trial ADvantage",
I8F-MC-GPIN,Tirzepatide Excretion in Breast Milk Study PK HV,
J2A-MC-GZPJ,DDI Moderator Inducer HV,
B3D-MC-B030,Forsteo Device Post Market Clinical Follow Up (PMCF) Survey Study,
J5N-OX-JJEA,Clinical Trial (Ph1/2 SM) Accel,
I6E-AV-I067,"Diabetes Prevention Outcomes AD Study (""DPPOS"")",
J2N-OX-JZNP,LOXO-BTK-20023-BRUIN-313-Ph3-Pirtobrutinib-Untreated CLL,
J2U-MC-YBAB,Ph2a KHKII 12 wk T2DM NAFLD Dose Finding,
I3Y-MC-B013,"2019-9039: RWE multi-site based study into Verzenios ES CSP",
I5Q-JE-B007,"Non-interventional, mandatory post marketing database study",
I5Q-MC-CGBD,interventional trial,
I5T-MC-AACN,H2H Donanemab,
J3F-MC-EZCB,AngPTL3 siRNA Ph2 study for ASCVD,
J4Z-VR-G011,PoC in COPD muscle dysfunction,
I8F-MC-B010,US study annual incidence medullary thyroid carcinoma/MTC,
I8F-MC-B012,China Tirzepatide T2DM Post Marketing Safety Study,
I8F-MC-GPIX,Clinical Trial (Ph3 New WMO1),
I4V-MC-JAHX,JIA Open label extension trial,
I8F-MC-GPGL,GIP/GLP-1 VS Semaglutide,
J2G-OX-JZJA,RET Inhibitor FHD  Libretto-001   LOXO-RET-17001,
I8F-MC-GPIY,Clinical Trial (Ramadan Study),
J2R-MC-YAAC,GI Tolerability w/ 2 Parts in HV,
,Clinical Trial (CYP 3A4),
,Clinical Trial (Pilot Food Effect),
I8X-MC-E002,Request for LY3300054 (PD-L1 antibody),
F3Z-MC-I031,Investigating How Time-in-Range Influences Quality of Life in T1D Adults,
J2G-GH-JZJK,LOXO-292 China FHD Study,
J2N-OX-Y001,LOXO-305 Expanded Access Protocol,
H8H-MC-B003,"2020-9158Survey to understand tx patterns&burden of migraine",
I5T-MC-AACK,China PK Pts,
J3T-OX-JZTA,Loxo-NGR-21001-Ph1-RET Inhibitor II-Thyroid-NSCLC,
J1I-MC-GZBI,DDI HV,
I4V-JE-B040,Japan PMSS,
I9J-MC-DIPC,Formulation Development Study (Quotient),
,Clinical Trial (BE/Device Bridging) LM,
J2A-MC-GZGP,CWM in obese population,
J2A-MC-GZGO,Mictrotracer C14 Trial Pts,
J2A-GH-GZGX,OFG_Obesity_China PK Pts,
J2A-MC-GZPI,BE Study Tablet vs Capsules T2DM HV,
I3Y-MC-JPEI,Clinical Trial (Ph1b – Darolutamide plus Abemacilib in mCRPC,
I3Y-JE-B016,"2023LMP - TR 05 - Nyupage study",
H6O-MC-O018,Screening protocol,
,Clinical Trial (Pilot Food Effect),
B9R-SB-B004,"",
,National registry (Tau PET/Amyloid PET/BBM),
J2T-JE-KGAL,Lebri comb study in Japanese pts with moderate to severe,
J3L-MC-EZEA,A FHD trial for LY3819469 in treatment of Atherosclerosis,
J3P-MC-FTAC,MAD study in Japanese and non-Japanese HV,
J3V-MC-KKAA,FHD SAD HV and Multi Dose Atopic Derm Hybrid Pt/HV,
I8B-MC-ITSN,I8B-MC-ITSN- Insulin Only Tandem Luymjev Closed Loop Safety Study,
,Japan Validation Study,
J4L-MC-KMAA,FHD SAD/MAD Dose Escalation Pts/HV,
J2A-MC-GZGY,Pediatric study in T2DM,
J2T-MC-KGBU,Clinical Trial (Ph3 Trial CRSwNP 56wk Preferred),
I5B-MC-JGDQ,Ph Ib - Olaratumab + PD1(external) - Solid Tumors,
I6T-MC-AMAM,Crohn's Disease Phase III Study,
,Device Trial,
,Clinical Trial (JZQH part A-not linked in Vault),
J2N-MC-JZNX,"A Phase 2, Open-label, Randomized Study Evaluating the Efficacy and Safety of 3 Doses of Pirtobrutinib",
J4X-MC-LWCB,C14/ABA,
,Clinical Trial (Ph1/2 LM St Dose Esc/Expan/Reg: 240 pts./25 cyc/35 sites/28 m,
J3D-MC-FNAA,"FHD SAD,MAD,DDI,FE in HV",
H8H-MC-B006,Lasmiditan Exposure and Driving,
J2T-MC-KGBI,Lebri vs Placebo in moderate to severe AD pediatrics with TCS,
J3P-MC-FTAE,C14 HV,
H8H-MC-B011,Non-inter mandatory post mktg db stdy JP pts/migraine,
J3Z-MC-OJAD,PRV-GD2-EAP; GD Type 2; Center 2,
J1I-MC-GZBT,Hepatic Impairment Study Pts,
J4R-MC-KRAA,FHD SAD in HV and MD in RA Pts,
,Clinical Trial (Ph2 Demonstrate Slowing of Motor Progression),
,Clinical Trial (Ph2 Trial 1: HFpEF 6 Month) LM,
J2T-AP-KGCB,"A Phase 3b, Open-label Study to Evaluate the Effectiveness and Safety of Lebrikizumab Treatment in Adults and Adolescents with Moderate-to-Severe Atopic Dermatitis 

This is the Almirall Trial ADHope-2; M-17923-34",
H7I-AV-S032,The use of alpha synuclein skin biopsy test to evaluate the relationship between rapid clearance versus longer clearance of amyloid in relation to alpha synuclein positivity/levels and to evaluate the trajectories/rate of amyloid re-accumulation related to alpha synuclein positivity/levels,
,Clinical Trial (Observational Study),
I3Y-MC-JPBH,Met Breast Cancer study with combo therapies,
I4V-MC-JAHO,Ph2/Ph3 LY vs PBO in pts with Alopecia Areata,
I1F-MC-B010,Prospective Pregnancy Registry per FDA request,
J2G-OX-JZJJ,RET Inhibitor Pediatric Trial  Libretto-121  LOXO-RET-18036,
,Clinical Trial (C14+ABA),
J3G-MC-S004,EET HV,
I5Q-NS-O001,Definition of neuroimaging and blood biomarkers as possible predictors for treatment response to Galcanezumab in high-frequency episodic migraine,
H9X-MC-GBGS,Clinical Trial (PMR Peds 3/4.5 mg)),
I4V-MC-B026,Obs prospective study compares Baricitinib-biologic Trmt AD,
I5T-MC-AACI,N3pG Phase 3 Safety and Efficacy in AD Patients,
I9X-MC-MTAE,"Assessment of Safety, Tolerability, and Efficacy of LY337268",
I8H-MC-BDDF,Bioequivalence Study Comparing 2 Formulations of LY3209590 in Healthy Participants,
I4T-MC-B012,Ph4-PMSS of Cyramza in China,
J1P-MC-KFAM,"Phase 1, Open-label PK study of LY3471851 Following SC Administration to Participants with Impaired Renal Function",
I8F-MC-GPIL,Switching to Tirzepatide from GLP-1RA,
I6T-MC-PIBD,IBD PLATFORMPBCRD3001/I6T MC PIBD,
,Clinical Trial (Ph2 Trial: Cognition; LY v Pbo) SM,
H9X-MC-B023,Trulicity/ KwikPen Device Post Market Clinical Follow Up Survey Study,
I8F-MC-B006,IBU Persistence and Real-World Usage: TZP vs Ozempic,
,Clinical Trial (Pregnancy Registry Study),
,Clinical Trial (CYP 3A4),
J5D-MC-FPAA,Clinical Trial (EET-Assessing PD in HV with a skin model ),
I6T-MC-B006,Pregnancy Registry Study,
,Clinical Trial (Ph1a/b SM St Dose Esc/Expan: 240 pts 20 cyc 35 sites 25 mo Stand,
J2T-AP-KGCC,Patient-assessed long-term control of moderate-to-severe Atopic eczema treateD with LebrIkizumab in a real-liFE setting (AD-LIFE),
I6E-AV-AVBE,Evaluation of Effectiveness of Amyvid Reader Training,
I1F-MC-B018,Nail and Scalp PMS,
